"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-06","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-07","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-08","0.58",",,W,2400","5.6",",,W,","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-09","0.00","T,,W,2400","0.0","T,,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-10","0.02",",,W,2400","0.3",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-11","0.00","T,,W,2400","0.0","T,,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-12","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-13","0.00","T,,W,2400","0.0","T,,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-14","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-15","0.20",",,W,2400","0.5",",,W,","    1",",,W",,,,,,,,,"    1",",,W",,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-16","0.68",",,W,2400","0.0",",,W,","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-17","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-18","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-19","0.00","T,,W,2400","0.0","T,,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-20","0.01",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-21","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-22","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-23","0.02",",,W,2400","0.0","T,,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-24","0.78",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-25","0.88",",,W,2400","0.0",",,W,","    1",",,W",,,"    1",",,W",,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-26","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-27","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-28","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-02-29","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-01","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-02","0.29",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-03","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-04","0.00","T,,W,2400","0.0","T,,W,","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-05","0.00","T,,W,2400","0.0","T,,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-06","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-07","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-08","0.00",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-09","0.00",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-10","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-11","0.09",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-12","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-13","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-14","0.50",",,W,2400","0.0","T,,W,","    1",",,W",,,,,"    1",",,W",,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-15","1.13",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-16","0.02",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-17","0.04",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-18","0.02",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-19","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-20","0.00","T,,W,2400","0.0","T,,W,",,,,,,,"    1",",,W",,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-21","0.23",",,W,2400","2.6",",,W,","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-22","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-23","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-24","0.00",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-25","0.03",",,W,2400","0.0",",,W,","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-26","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-27","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-28","0.33",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-29","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-30","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-03-31","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-01","0.04",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-02","0.69",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-03","0.47",",,W,2400","0.8",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-04","0.67",",,W,2400","5.9",",,W,","    1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-05","0.00","T,,W,2400","0.0","T,,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-06","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-07","1.44",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-08","0.01",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-09","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-10","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-11","0.01",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-12","0.25",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-13","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-14","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-15","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-16","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-17","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-18","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-19","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-20","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-21","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-22","0.05",",,W,2400","0.0",",,W,","    1",",,W",,,"    1",",,W",,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-23","0.14",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-24","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-25","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-26","0.14",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-27","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-28","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-29","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-04-30","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-01","0.10",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-02","0.15",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-03","0.30",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-04","0.29",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-05","0.02",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-06","0.22",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-07","0.02",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-08","0.02",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-09","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-10","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-11","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-12","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-13","0.36",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-14","0.00","T,,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-15","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-16","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-17","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-18","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-19","0.01",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-20","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-21","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-22","0.02",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-23","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-24","0.17",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-25","0.00",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-26","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-27","0.00",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-28","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-29","0.00","T,,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-30","1.50",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-05-31","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-01","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-02","0.00",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-03","0.01",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-04","0.00",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-05","0.58",",,W,2400","0.0",",,W,","    1",",,W",,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-06","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-07","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-08","0.03",",,W,2400","0.0",",,W,",,,,,"    1",",,W",,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-09","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2016-06-10","0.00",",,W,2400","0.0",",,W,",,,,,,,,,,,,,,,,,,
