Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US32013,32013,"Humboldt County, Nevada",16528,16521,16583,16638,17072,17357,17219,17023,16792,16702,16786
0500000US32015,32015,"Lander County, Nevada",5775,5775,5795,5841,5923,6065,5973,5884,5696,5604,5575
0500000US32017,32017,"Lincoln County, Nevada",5345,5339,5351,5266,5370,5268,5197,5137,5154,5182,5201
0500000US32019,32019,"Lyon County, Nevada",51980,51980,52043,51380,50969,51094,51339,51986,52726,53915,55808
0500000US32021,32021,"Mineral County, Nevada",4772,4770,4786,4627,4657,4553,4469,4422,4380,4454,4514
0500000US32023,32023,"Nye County, Nevada",43946,43945,43844,43972,43588,42876,42851,42988,43289,44051,45346
0500000US32027,32027,"Pershing County, Nevada",6753,6752,6738,6612,6754,6845,6706,6624,6584,6473,6666
0500000US32029,32029,"Storey County, Nevada",4010,4014,3998,3906,3839,3795,3803,3878,3992,4003,4029
0500000US32031,32031,"Washoe County, Nevada",421407,421425,421958,424000,427452,431223,436493,442728,450142,457333,465735
0500000US32033,32033,"White Pine County, Nevada",10030,10026,10026,10125,10013,10043,10032,9858,9721,9599,9475
0500000US32510,32510,"Carson City, Nevada",55274,55274,54986,54679,54319,53736,54096,54069,54147,54608,55414
0500000US33001,33001,"Belknap County, New Hampshire",60088,60073,60098,60327,60434,60236,60285,60347,60700,60845,61022
0500000US33003,33003,"Carroll County, New Hampshire",47818,47825,47827,47676,47693,47520,47429,47392,47493,48109,48779
0500000US33005,33005,"Cheshire County, New Hampshire",77117,77122,77057,76927,76902,76714,76424,76261,75950,76185,76493
0500000US33007,33007,"Coos County, New Hampshire",33055,33052,32975,32507,31984,31957,32783,32332,31903,31584,31589
0500000US33009,33009,"Grafton County, New Hampshire",89118,89137,89128,89268,89621,89900,89926,89415,89982,89947,89786
0500000US33011,33011,"Hillsborough County, New Hampshire",400721,400699,401049,402492,404106,405065,407071,408811,411150,413157,415247
0500000US33013,33013,"Merrimack County, New Hampshire",146445,146457,146394,146858,147106,147511,148141,148670,149150,150169,151132
0500000US33015,33015,"Rockingham County, New Hampshire",295223,295211,295293,296138,298123,299420,301481,302930,304778,307281,309176
0500000US33017,33017,"Strafford County, New Hampshire",123143,123149,123196,124112,124753,125022,126523,126978,128175,129421,130090
0500000US33019,33019,"Sullivan County, New Hampshire",43742,43739,43760,43510,43240,43063,43160,43158,43092,43069,43144
0500000US34001,34001,"Atlantic County, New Jersey",274549,274521,274649,274606,274651,274369,272656,270471,267813,266328,265429
0500000US34003,34003,"Bergen County, New Jersey",905116,905143,906341,912033,916408,920203,923757,926997,928979,933569,936692
0500000US34005,34005,"Burlington County, New Jersey",448734,448730,449124,450149,450517,448850,448224,446923,446108,445196,445384
0500000US34007,34007,"Camden County, New Jersey",513657,513719,513460,512726,511769,510128,508554,507784,507075,506343,507078
0500000US34009,34009,"Cape May County, New Jersey",97265,97261,97221,96490,96230,95506,94923,94180,93679,93184,92560
0500000US34011,34011,"Cumberland County, New Jersey",156898,156633,156704,157045,156941,156120,156086,154838,153355,151748,150972
0500000US34013,34013,"Essex County, New Jersey",783969,783885,784062,785531,785137,786817,788975,790508,792617,795908,799767
0500000US34015,34015,"Gloucester County, New Jersey",288288,288570,288960,289478,289627,289720,290530,290823,290647,290850,291408
0500000US34017,34017,"Hudson County, New Jersey",634266,634245,635634,645600,652416,657217,660502,664744,668928,672922,676061
0500000US34019,34019,"Hunterdon County, New Jersey",128349,127357,127319,127314,126596,126381,125847,125396,124668,124628,124714
0500000US34021,34021,"Mercer County, New Jersey",366513,367511,367744,367384,368604,369517,369017,368352,368028,368602,369811
0500000US34023,34023,"Middlesex County, New Jersey",809858,809924,810666,815082,819347,821844,824349,825867,825907,827684,829685
0500000US34025,34025,"Monmouth County, New Jersey",630380,630374,630480,629102,627663,626980,625647,624320,623286,622327,621354
0500000US34027,34027,"Morris County, New Jersey",492276,492314,492663,494809,495679,496114,494982,494432,494046,494225,494228
0500000US34029,34029,"Ocean County, New Jersey",576567,576546,577574,578849,579860,582022,584449,587137,590990,595470,601651
0500000US34031,34031,"Passaic County, New Jersey",501226,501609,502055,503282,503651,504006,504758,504588,503853,503694,503310
0500000US34033,34033,"Salem County, New Jersey",66083,66066,65976,65866,65410,64789,64328,63720,63189,62838,62607
0500000US34035,34035,"Somerset County, New Jersey",323444,323433,324084,326153,327341,329024,329342,329678,329996,330700,331164
0500000US34037,34037,"Sussex County, New Jersey",149265,148909,148827,148122,146943,145615,144578,142996,141932,141185,140799
0500000US34039,34039,"Union County, New Jersey",536499,536567,537500,540024,543129,546237,548282,550367,553343,555273,558067
0500000US34041,34041,"Warren County, New Jersey",108692,108645,108581,108138,107564,106903,106994,106748,106077,105869,105779
0500000US35001,35001,"Bernalillo County, New Mexico",662564,662487,663948,670278,673697,676497,676229,676678,678165,678686,678701
0500000US35003,35003,"Catron County, New Mexico",3725,3729,3750,3719,3638,3589,3550,3480,3522,3567,3578
0500000US35005,35005,"Chaves County, New Mexico",65645,65648,65727,65739,65800,66059,65880,65878,65697,65153,64689
0500000US35006,35006,"Cibola County, New Mexico",27213,27215,27320,27488,27414,27419,27158,27047,27043,26895,26746
0500000US35007,35007,"Colfax County, New Mexico",13750,13750,13733,13627,13257,13082,12718,12449,12280,12206,12110
0500000US35009,35009,"Curry County, New Mexico",48376,48376,48963,49806,50799,50775,51115,50299,50303,49842,49437
0500000US35011,35011,"De Baca County, New Mexico",2022,2022,2029,1998,1955,1927,1859,1871,1833,1813,1781
0500000US35013,35013,"Doña Ana County, New Mexico",209233,209202,210097,213127,214507,214394,214084,214151,214748,216186,217522
0500000US35015,35015,"Eddy County, New Mexico",53829,53823,53901,54056,54416,55668,56690,57724,57667,57205,57900
0500000US35017,35017,"Grant County, New Mexico",29514,29510,29381,29338,29245,29096,28863,28361,28043,27692,27346
0500000US35019,35019,"Guadalupe County, New Mexico",4687,4686,4693,4625,4592,4532,4443,4351,4368,4409,4341
0500000US35021,35021,"Harding County, New Mexico",695,695,690,713,700,691,693,719,687,687,655
0500000US35023,35023,"Hidalgo County, New Mexico",4894,4898,4864,4842,4778,4623,4549,4436,4326,4305,4240
0500000US35025,35025,"Lea County, New Mexico",64727,64727,64599,65130,66382,68644,70211,71496,70254,69057,69611
0500000US35027,35027,"Lincoln County, New Mexico",20497,20495,20453,20409,20200,19981,19605,19365,19399,19483,19556
0500000US35028,35028,"Los Alamos County, New Mexico",17950,17950,17994,18229,18238,17950,17807,17830,18239,18804,19101
0500000US35029,35029,"Luna County, New Mexico",25095,25095,25082,25105,24926,24607,24448,24382,24379,24148,23963
0500000US35031,35031,"McKinley County, New Mexico",71492,71485,71672,72328,72374,72674,72807,73461,73106,72574,72290
0500000US35033,35033,"Mora County, New Mexico",4881,4881,4893,4780,4685,4697,4616,4613,4539,4542,4506
0500000US35035,35035,"Otero County, New Mexico",63797,63832,64399,65644,66226,66326,65362,64739,65644,66198,66781
0500000US35037,35037,"Quay County, New Mexico",9041,9040,9066,9044,8807,8676,8466,8446,8390,8310,8253
0500000US35039,35039,"Rio Arriba County, New Mexico",40246,40220,40289,40246,40197,40069,39739,39364,39233,39191,39006
0500000US35041,35041,"Roosevelt County, New Mexico",19846,19840,20022,20432,20323,20028,19656,19140,19143,18905,18743
0500000US35043,35043,"Sandoval County, New Mexico",131561,131620,132430,134312,135381,136326,137039,138531,140471,142624,145179
0500000US35045,35045,"San Juan County, New Mexico",130044,130045,130202,129694,129748,129468,129094,128261,127973,126902,125043
0500000US35047,35047,"San Miguel County, New Mexico",29393,29379,29398,29354,29098,28829,28505,28233,28058,27782,27591
0500000US35049,35049,"Santa Fe County, New Mexico",144170,144227,144528,145837,146722,147487,147819,148206,148888,149617,150056
0500000US35051,35051,"Sierra County, New Mexico",11988,11996,12042,12025,11857,11528,11267,11235,11113,11090,10968
0500000US35053,35053,"Socorro County, New Mexico",17866,17861,17789,17776,17481,17514,17267,17146,16967,16885,16735
0500000US35055,35055,"Taos County, New Mexico",32937,32935,32896,32891,32766,32962,32971,32814,32960,32862,32835
0500000US35057,35057,"Torrance County, New Mexico",16383,16375,16399,16443,16153,15825,15669,15608,15515,15593,15591
0500000US35059,35059,"Union County, New Mexico",4549,4554,4542,4410,4401,4347,4248,4166,4154,4188,4118
0500000US35061,35061,"Valencia County, New Mexico",76569,76582,76797,76950,76786,76502,75915,75731,75682,75994,76456
0500000US36001,36001,"Albany County, New York",304204,304208,304078,304564,305717,306613,307190,307476,307628,307717,307117
0500000US36003,36003,"Allegany County, New York",48946,48917,48962,48787,48201,47892,47646,47324,47039,46688,46430
0500000US36005,36005,"Bronx County, New York",1385108,1384603,1387353,1397366,1411715,1422340,1431538,1440726,1445237,1439725,1432132
0500000US36007,36007,"Broome County, New York",200600,200675,200478,199346,198658,197911,197251,195794,194345,192959,191659
0500000US36009,36009,"Cattaraugus County, New York",80317,80343,80230,79819,79354,79000,78685,77951,77708,77245,76840
0500000US36011,36011,"Cayuga County, New York",80026,80017,79901,79693,79509,79090,78768,78300,77666,77463,77145
0500000US36013,36013,"Chautauqua County, New York",134905,134907,134725,134198,133302,132848,131750,130634,129350,128609,127939
0500000US36015,36015,"Chemung County, New York",88830,88849,88898,88893,89136,88192,87179,86718,85676,84874,84254
0500000US36017,36017,"Chenango County, New York",50477,50511,50401,50183,49887,49479,49326,48772,48317,47790,47536
0500000US36019,36019,"Clinton County, New York",82128,82131,82095,81716,81708,81516,81460,80723,80524,80567,80695
0500000US36021,36021,"Columbia County, New York",63096,63057,63026,62512,62435,62160,61938,61453,60882,60408,59916
0500000US36023,36023,"Cortland County, New York",49336,49294,49283,49378,49027,48907,48743,48296,47919,47836,47823
0500000US36025,36025,"Delaware County, New York",47980,47963,47889,47578,47212,46801,46561,45954,45446,45020,44527
0500000US36027,36027,"Dutchess County, New York",297488,297462,297731,298118,297048,296272,295146,294108,293049,293450,293718
0500000US36029,36029,"Erie County, New York",919040,919129,919143,919747,919877,920883,921794,920543,918479,918794,919719
0500000US36031,36031,"Essex County, New York",39370,39363,39350,39256,38863,38587,38311,37958,37675,37511,37300
0500000US36033,36033,"Franklin County, New York",51599,51607,51652,51541,51789,51213,51102,50542,51077,50444,50293
0500000US36035,36035,"Fulton County, New York",55531,55520,55462,55115,54853,54359,53945,53800,53604,53777,53591
0500000US36037,36037,"Genesee County, New York",60079,59943,59940,59886,59682,59124,58740,58470,58022,57816,57511
0500000US36039,36039,"Greene County, New York",49221,49215,49136,48850,48582,48304,47962,47634,47525,47474,47491
0500000US36041,36041,"Hamilton County, New York",4836,4841,4851,4826,4802,4766,4700,4699,4557,4481,4434
0500000US36043,36043,"Herkimer County, New York",64519,64461,64461,64373,64222,63881,63384,62654,62446,62209,61833
0500000US36045,36045,"Jefferson County, New York",116229,116234,116594,117769,120261,118515,118005,116403,113015,113063,111755
0500000US36047,36047,"Kings County, New York",2504700,2504717,2509877,2540822,2568876,2588501,2602680,2610607,2611232,2596385,2582830
0500000US36049,36049,"Lewis County, New York",27087,27090,27078,27023,27195,27100,27091,26830,26652,26576,26447
0500000US36051,36051,"Livingston County, New York",65393,65207,65239,64844,64793,64620,64586,64318,63942,63461,63227
0500000US36053,36053,"Madison County, New York",73442,73451,73440,72879,72413,72457,72204,71672,71291,70831,70795
0500000US36055,36055,"Monroe County, New York",744344,744399,744594,746711,747350,748326,747425,745376,743531,742436,742474
0500000US36057,36057,"Montgomery County, New York",50219,50258,50300,49901,49822,49738,49673,49579,49206,49216,49455
0500000US36059,36059,"Nassau County, New York",1339532,1339885,1341687,1346176,1349723,1352399,1355029,1355319,1356463,1357664,1358343
0500000US36061,36061,"New York County, New York",1585873,1586360,1588759,1608215,1624039,1627806,1630946,1636713,1636261,1629780,1628701
0500000US36063,36063,"Niagara County, New York",216469,216485,216479,215709,214713,214110,213322,212366,211534,210866,210433
0500000US36065,36065,"Oneida County, New York",234878,234869,234763,234203,233766,233356,232626,231234,230348,230127,229577
0500000US36067,36067,"Onondaga County, New York",467026,467064,467527,467571,467034,468181,467342,466233,464033,461791,461809
0500000US36069,36069,"Ontario County, New York",107931,108090,108164,108581,108600,109043,109334,109285,109267,109609,109864
0500000US36071,36071,"Orange County, New York",372813,372829,373453,374125,373814,374539,375181,376152,378047,379803,381951
0500000US36073,36073,"Orleans County, New York",42883,42883,42842,42634,42379,42220,41850,41457,41196,40759,40612
0500000US36075,36075,"Oswego County, New York",122109,122105,122141,121967,121450,121169,120588,119728,118881,118426,117898
0500000US36077,36077,"Otsego County, New York",62259,62277,62258,61964,61746,61614,60951,60497,60119,59903,59749
0500000US36079,36079,"Putnam County, New York",99710,99650,99661,99816,99625,99584,99459,99219,98812,98966,98892
0500000US36081,36081,"Queens County, New York",2230722,2230578,2234745,2255559,2272745,2288194,2300148,2307614,2309032,2296865,2278906
0500000US36083,36083,"Rensselaer County, New York",159429,159433,159341,159572,159427,159538,159661,159456,159334,159261,159442
0500000US36085,36085,"Richmond County, New York",468730,468730,469621,471001,470657,471898,472075,472521,474214,475516,476179
0500000US36087,36087,"Rockland County, New York",311687,311694,312502,315439,317216,319330,321176,323078,323640,324839,325695
0500000US36089,36089,"St. Lawrence County, New York",111944,111940,111811,112268,112357,111928,111437,110331,109411,108562,108047
0500000US36091,36091,"Saratoga County, New York",219607,219593,220105,221088,222466,224082,224518,226053,227048,229102,230163
0500000US36093,36093,"Schenectady County, New York",154727,154751,154864,154856,155020,154957,155042,154738,154473,154814,155350
0500000US36095,36095,"Schoharie County, New York",32749,32729,32692,32621,32044,31905,31773,31408,31307,31236,31097
0500000US36097,36097,"Schuyler County, New York",18343,18353,18326,18402,18484,18372,18164,18013,17948,17925,17912
0500000US36099,36099,"Seneca County, New York",35251,35243,35261,35314,35338,35227,34887,34814,34731,34327,34300
0500000US36101,36101,"Steuben County, New York",98990,98990,99012,99145,98926,98845,98173,97524,96895,96249,95796
0500000US36103,36103,"Suffolk County, New York",1493350,1493147,1494385,1498838,1497037,1497489,1495757,1492278,1486804,1483571,1481093
0500000US36105,36105,"Sullivan County, New York",77547,77504,77477,77047,76931,76949,75647,74854,74977,75079,75498
0500000US36107,36107,"Tioga County, New York",51125,51049,51011,50872,50281,50110,49833,49360,48822,48650,48560
0500000US36109,36109,"Tompkins County, New York",101564,101580,101725,101801,102719,103553,103385,103018,102938,102678,102793
0500000US36111,36111,"Ulster County, New York",182493,182512,182409,182430,181535,180701,180419,179692,179080,178723,178599
0500000US36113,36113,"Warren County, New York",65707,65698,65670,65733,65418,65085,64870,64411,64428,64428,64265
0500000US36115,36115,"Washington County, New York",63216,63243,63343,63074,62980,62749,62464,62225,61767,61489,61197
0500000US36117,36117,"Wayne County, New York",93772,93754,93752,93246,93035,92350,91806,91284,90754,90372,90064
0500000US36119,36119,"Westchester County, New York",949113,949220,950631,956265,959729,964805,967407,969220,970556,969279,967612
0500000US36121,36121,"Wyoming County, New York",42155,42150,42121,41839,41692,41353,41129,40922,40406,40283,40085
0500000US36123,36123,"Yates County, New York",25348,25364,25375,25449,25334,25207,25148,25080,25023,24952,24841
0500000US37001,37001,"Alamance County, North Carolina",151131,151160,151440,152696,153282,154199,155425,157100,160392,163529,166436
0500000US37003,37003,"Alexander County, North Carolina",37198,37185,37235,37028,36925,37016,36992,36960,37142,37146,37353
0500000US37005,37005,"Alleghany County, North Carolina",11155,11154,11139,11017,10945,10905,10895,10861,10926,11023,11161
0500000US37007,37007,"Anson County, North Carolina",26948,26929,26852,26508,26312,25964,25974,25620,25182,24878,24877
0500000US37009,37009,"Ashe County, North Carolina",27281,27240,27228,26984,26927,26849,26772,26637,26611,26803,27109
0500000US37011,37011,"Avery County, North Carolina",17797,17812,17765,17728,17576,17614,17615,17455,17423,17505,17505
0500000US37013,37013,"Beaufort County, North Carolina",47759,47768,47807,47655,47418,47372,47328,47385,47370,47051,47079
0500000US37015,37015,"Bertie County, North Carolina",21282,21275,21245,20854,20491,20326,20321,20167,19432,19274,19026
0500000US37017,37017,"Bladen County, North Carolina",35190,35181,35192,34892,34829,34642,34386,34140,33704,33468,33190
0500000US37019,37019,"Brunswick County, North Carolina",107431,107429,108065,110167,112002,114920,118308,122211,126302,130735,136744
0500000US37021,37021,"Buncombe County, North Carolina",238318,238331,238737,241148,243657,246823,249122,251973,254988,257185,259103
0500000US37023,37023,"Burke County, North Carolina",90912,90832,90575,90527,89959,89345,89289,89324,89438,90127,90382
0500000US37025,37025,"Cabarrus County, North Carolina",178011,178087,178535,181134,184127,187036,191490,196215,201470,206724,211342
0500000US37027,37027,"Caldwell County, North Carolina",83029,83060,83021,82440,82072,82044,81665,81512,81767,81920,82029
0500000US37029,37029,"Camden County, North Carolina",9980,9980,10009,10022,10001,10115,10276,10284,10402,10561,10710
0500000US37031,37031,"Carteret County, North Carolina",66469,66463,66698,67405,67763,68384,68634,68711,68811,68919,69524
0500000US37033,37033,"Caswell County, North Carolina",23719,23734,23753,23457,23045,23098,22811,22822,22765,22632,22698
0500000US37035,37035,"Catawba County, North Carolina",154358,154753,154766,154484,154729,155012,155139,155571,156471,157811,158652
0500000US37037,37037,"Chatham County, North Carolina",63505,63481,63840,64102,64531,65244,66665,68256,69646,71248,73139
0500000US37039,37039,"Cherokee County, North Carolina",27444,27444,27431,27173,27027,27119,27075,27098,27805,27980,28383
0500000US37041,37041,"Chowan County, North Carolina",14793,14793,14737,14806,14695,14668,14504,14249,14201,14040,14029
0500000US37043,37043,"Clay County, North Carolina",10587,10590,10607,10682,10651,10595,10562,10619,10743,11001,11139
0500000US37045,37045,"Cleveland County, North Carolina",98078,98032,97919,97431,97314,96874,97018,96885,97017,97228,97645
0500000US37047,37047,"Columbus County, North Carolina",58098,58110,57975,57683,57521,57071,56878,56666,56279,55987,55655
0500000US37049,37049,"Craven County, North Carolina",103505,103503,104176,104829,105325,104302,104078,102906,102760,102754,102912
0500000US37051,37051,"Cumberland County, North Carolina",319431,319433,327195,330468,329965,332984,332383,331278,333300,331239,332330
0500000US37053,37053,"Currituck County, North Carolina",23547,23547,23674,23903,24022,24250,24817,25112,25654,26323,27072
0500000US37055,37055,"Dare County, North Carolina",33920,33920,33982,34155,34383,34810,34894,35432,35765,36115,36501
0500000US37057,37057,"Davidson County, North Carolina",162878,162841,162861,162932,163060,163325,163425,163575,164394,165313,166614
0500000US37059,37059,"Davie County, North Carolina",41240,41221,41255,41333,41282,41441,41265,41655,41933,42369,42733
0500000US37061,37061,"Duplin County, North Carolina",58505,58399,58650,59201,59443,59328,59442,58892,59260,58862,58856
0500000US37063,37063,"Durham County, North Carolina",267587,269999,271354,276543,282668,288759,295199,300755,307705,311888,316739
0500000US37065,37065,"Edgecombe County, North Carolina",56552,56546,56626,56052,55682,55435,54875,53744,53277,52757,52005
0500000US37067,37067,"Forsyth County, North Carolina",350670,350649,351393,354514,357628,360657,364537,367348,371157,375724,379099
0500000US37069,37069,"Franklin County, North Carolina",60619,60553,60818,60927,61392,62065,62689,63630,64596,66033,67560
0500000US37071,37071,"Gaston County, North Carolina",206086,206094,206105,206861,207902,209228,210573,212971,216716,219819,222846
0500000US37073,37073,"Gates County, North Carolina",12197,12184,12165,12041,11889,11701,11631,11529,11567,11515,11573
0500000US37075,37075,"Graham County, North Carolina",8861,8861,8870,8814,8709,8722,8624,8598,8545,8534,8484
0500000US37077,37077,"Granville County, North Carolina",59916,57531,57665,57489,57550,57759,57999,58182,58699,59374,60115
0500000US37079,37079,"Greene County, North Carolina",21362,21353,21259,21514,21194,21016,21018,20952,21080,20980,21012
0500000US37081,37081,"Guilford County, North Carolina",488406,488421,489589,494891,500471,506401,512275,517414,525055,529496,533670
0500000US37083,37083,"Halifax County, North Carolina",54691,54627,54474,54110,53733,53188,52839,52178,51811,51282,50574
0500000US37085,37085,"Harnett County, North Carolina",114678,114681,115742,119158,122197,125032,126704,128027,130631,132229,134214
0500000US37087,37087,"Haywood County, North Carolina",59036,59031,58935,58722,58642,58966,59134,59636,60389,61036,61971
0500000US37089,37089,"Henderson County, North Carolina",106740,106713,106887,107359,107768,108885,110270,111926,113723,115457,116748
0500000US37091,37091,"Hertford County, North Carolina",24669,24677,24763,24712,24600,24577,24582,24380,24216,23926,23659
0500000US37093,37093,"Hoke County, North Carolina",46952,46890,47496,49463,50478,51156,51588,52728,52973,54141,54764
0500000US37095,37095,"Hyde County, North Carolina",5810,5817,5811,5796,5687,5652,5598,5428,5440,5267,5230
0500000US37097,37097,"Iredell County, North Carolina",159437,159451,159768,161018,162664,164582,166514,169497,172552,175628,178435
0500000US37099,37099,"Jackson County, North Carolina",40271,40261,40357,40223,40617,40984,40907,41281,42573,43192,43327
0500000US37101,37101,"Johnston County, North Carolina",168878,168877,169681,172440,174400,177256,180758,185135,190868,196423,202675
0500000US37103,37103,"Jones County, North Carolina",10153,10167,10143,10059,10069,10005,9851,9785,9602,9602,9637
0500000US37105,37105,"Lee County, North Carolina",57866,57858,57886,58539,59259,59785,59430,59440,59737,60567,61452
0500000US37107,37107,"Lenoir County, North Carolina",59495,59511,59492,59409,59115,58737,58261,57994,57263,56641,55976
0500000US37109,37109,"Lincoln County, North Carolina",78265,77985,78104,78259,78693,79081,79418,80535,81118,82365,83770
0500000US37111,37111,"McDowell County, North Carolina",44996,44996,45098,45051,45003,45031,45018,44976,44882,45164,45507
0500000US37113,37113,"Macon County, North Carolina",33922,33925,33958,33884,33803,33735,33823,34078,34241,34624,35285
0500000US37115,37115,"Madison County, North Carolina",20764,20784,20779,20844,20884,21149,21189,21138,21359,21577,21763
0500000US37117,37117,"Martin County, North Carolina",24505,24515,24501,24179,23841,23637,23437,23262,23122,22776,22671
0500000US37119,37119,"Mecklenburg County, North Carolina",919628,919668,923258,943750,967083,990785,1010412,1033282,1056665,1077311,1093901
0500000US37121,37121,"Mitchell County, North Carolina",15579,15576,15507,15347,15321,15275,15166,15063,14991,14979,15000
0500000US37123,37123,"Montgomery County, North Carolina",27798,27784,27731,27707,27526,27454,27291,27456,27325,27347,27271
0500000US37125,37125,"Moore County, North Carolina",88247,88242,88587,89247,90186,91369,92825,94014,95392,97232,98682
0500000US37127,37127,"Nash County, North Carolina",95840,95829,95789,95736,95185,94428,94216,93805,93968,94012,94016
0500000US37129,37129,"New Hanover County, North Carolina",202667,202683,203286,205954,209051,212938,215996,219440,224789,228657,232274
0500000US37131,37131,"Northampton County, North Carolina",22099,22106,22039,21915,21287,20860,20659,20538,20143,19913,19676
0500000US37133,37133,"Onslow County, North Carolina",177772,177799,186889,184962,190669,192351,191820,193037,192184,194838,197683
0500000US37135,37135,"Orange County, North Carolina",133801,133702,133986,134815,137829,139404,140333,141379,142991,143960,146027
0500000US37137,37137,"Pamlico County, North Carolina",13144,13143,13110,13245,13019,12883,12874,12743,12769,12654,12670
0500000US37139,37139,"Pasquotank County, North Carolina",40661,40661,40629,40260,40378,39551,39441,39407,39431,39476,39639
0500000US37141,37141,"Pender County, North Carolina",52217,52198,52416,53171,53717,54786,55908,57455,58807,60768,62162
0500000US37143,37143,"Perquimans County, North Carolina",13453,13453,13481,13498,13588,13634,13538,13467,13408,13460,13422
0500000US37145,37145,"Person County, North Carolina",39464,39478,39413,39520,39182,39247,39122,39206,39297,39395,39507
0500000US37147,37147,"Pitt County, North Carolina",168148,168167,168853,170761,172969,174384,174998,176098,177232,178617,179914
0500000US37149,37149,"Polk County, North Carolina",20510,20521,20481,20292,20251,20392,20371,20401,20388,20518,20611
0500000US37151,37151,"Randolph County, North Carolina",141752,141823,141986,141852,142280,142327,142510,142634,143146,143149,143351
0500000US37153,37153,"Richmond County, North Carolina",46639,46647,46633,46647,46358,46133,45778,45435,45021,44825,44887
0500000US37155,37155,"Robeson County, North Carolina",134168,134229,134496,135176,135460,135140,134945,134461,133384,132590,131831
0500000US37157,37157,"Rockingham County, North Carolina",93643,93641,93658,93276,92692,91903,91800,91676,91345,90841,90690
0500000US37159,37159,"Rowan County, North Carolina",138428,138532,138368,137836,137551,137742,138142,138588,139495,140537,141262
0500000US37161,37161,"Rutherford County, North Carolina",67810,67816,67737,67408,67214,66848,66567,66388,66311,66568,66826
0500000US37163,37163,"Sampson County, North Carolina",63431,63473,63536,63514,63715,63917,63820,63605,63323,63433,63626
0500000US37165,37165,"Scotland County, North Carolina",36157,36160,36063,36272,36090,35915,35665,35330,35331,35172,34810
0500000US37167,37167,"Stanly County, North Carolina",60585,60586,60576,60520,60456,60631,60619,60635,60792,61451,62075
0500000US37169,37169,"Stokes County, North Carolina",47401,47417,47349,47142,46732,46517,46326,46146,45887,45697,45467
0500000US37171,37171,"Surry County, North Carolina",73673,73743,73769,73487,73292,72644,72492,71971,71964,72118,71948
0500000US37173,37173,"Swain County, North Carolina",13981,13984,14011,14011,14054,13979,14240,14328,14193,14266,14245
0500000US37175,37175,"Transylvania County, North Carolina",33090,33091,33087,32804,32833,32828,32954,33167,33406,33825,34215
0500000US37177,37177,"Tyrrell County, North Carolina",4407,4407,4415,4337,4122,4104,4120,4137,4025,4183,4131
0500000US37179,37179,"Union County, North Carolina",201292,201334,202110,204877,208077,212229,217738,222017,226383,231424,235908
0500000US37181,37181,"Vance County, North Carolina",45422,45419,45301,45297,45104,44505,44537,44480,44500,44312,44582
0500000US37183,37183,"Wake County, North Carolina",900993,901058,906882,928729,951894,974007,997789,1022431,1048381,1071886,1092305
0500000US37185,37185,"Warren County, North Carolina",20972,21028,20981,20989,20758,20600,20385,20213,19892,19869,19807
0500000US37187,37187,"Washington County, North Carolina",13228,13209,13135,12920,12679,12689,12496,12282,12122,12019,11859
0500000US37189,37189,"Watauga County, North Carolina",51079,51057,50967,51617,52059,52297,52397,53062,54095,55088,55945
0500000US37191,37191,"Wayne County, North Carolina",122623,122673,122900,124040,124574,124622,124631,124428,124448,123257,123248
0500000US37193,37193,"Wilkes County, North Carolina",69340,69310,69270,68944,68916,68622,68432,68291,68554,68464,68557
0500000US37195,37195,"Wilson County, North Carolina",81234,81218,81285,81135,81386,81186,81006,81281,81370,81567,81455
0500000US37197,37197,"Yadkin County, North Carolina",38406,38409,38434,38340,38145,38067,37850,37628,37663,37643,37543
0500000US37199,37199,"Yancey County, North Carolina",17818,17818,17806,17689,17624,17550,17546,17556,17618,17712,17903
0500000US38001,38001,"Adams County, North Dakota",2343,2343,2351,2312,2334,2392,2388,2398,2344,2330,2294
0500000US38003,38003,"Barnes County, North Dakota",11066,11064,11064,11111,11004,11111,11060,11005,10896,10676,10542
0500000US38005,38005,"Benson County, North Dakota",6660,6660,6677,6686,6769,6896,6883,6817,6835,6935,6962
0500000US38007,38007,"Billings County, North Dakota",783,784,783,844,919,912,920,947,946,920,919
0500000US38009,38009,"Bottineau County, North Dakota",6429,6429,6441,6499,6605,6740,6685,6734,6577,6536,6411
0500000US38011,38011,"Bowman County, North Dakota",3151,3151,3143,3142,3210,3215,3239,3280,3223,3156,3076
0500000US38013,38013,"Burke County, North Dakota",1968,1968,1971,2062,2182,2305,2261,2344,2226,2134,2100
0500000US38015,38015,"Burleigh County, North Dakota",81308,81308,81701,83283,85745,88418,90509,93180,94566,95158,95273
0500000US38017,38017,"Cass County, North Dakota",149778,149778,150305,153286,157405,162835,166553,170734,174271,177937,181516
0500000US38019,38019,"Cavalier County, North Dakota",3993,3994,3986,3945,3921,3855,3846,3826,3824,3795,3829
0500000US38021,38021,"Dickey County, North Dakota",5289,5287,5277,5253,5219,5193,5098,5042,4968,4841,4903
